ayah	status	sha256	reviewer	date	note
1	verified	2ba86a43b51c78a1f8f3b7e4ae3dd531e8f2caee0dcfa3f100c05917de7b71e4	AI (double) + owner sample	2026-09-25	ADR 0006
2	verified	64fffbdca3d18f373d27b92914f8bca095acf534bc31055d94fddf165eeaeed1	AI (double) + owner sample	2026-09-25	ADR 0006
3	verified	28503f1f329ad51525ab982ab2c77253201be9fb935b3a94eb2b691c09cfd8e0	AI (double) + owner sample	2026-09-25	ADR 0006
4	verified	663f7b1f55e434ac032c64c90b74999a74913eb27bd3458978139fa7c67a62ab	AI (double) + owner sample	2026-09-25	ADR 0006
5	verified	4a5b12144256f61a21e25f29e162faef4d3142409e9aaecb3d64e8e782dd929d	AI (double) + owner sample	2026-09-25	ADR 0006
6	verified	cd33d836594296651a81fb93c8e99beae6ac3f8d26451144865f7b178b258832	AI (double) + owner sample	2026-09-25	ADR 0006
7	verified	85548227bffe1e5e6997f242268ff41a3a375302716c9c2f2ef7d296e61ad29f	AI (double) + owner sample	2026-09-25	ADR 0006
8	verified	d92ef415080427fd8c015f691930972760e7941407ad636a1a1c08e63f50d075	AI (double) + owner sample	2026-09-25	ADR 0006
9	verified	b656ab0b3bdf4e514297746f39c8d605dd3dab1d6792e5941d6c81ab4371f918	AI (double) + owner sample	2026-09-25	ADR 0006
10	verified	dd72b31ceaf5774a86ca42e025b079343c6d68390201876ea637d80ea0909ba5	AI (double) + owner sample	2026-09-25	ADR 0006
11	verified	d127164ca1a14c4ca456c5b38b55dc28fe15f18bd42e197f9fe950f83e69f916	AI (double) + owner sample	2026-09-25	ADR 0006
12	verified	5c0c48f20955be5d6f67fb86be4415c69de274cea259921f02aa76b045beba6d	AI (double) + owner sample	2026-09-25	ADR 0006
13	verified	df31feef597e23a2ace06d3e6e5579d45e8677243902944a87a07666ed4e26b8	AI (double) + owner sample	2026-09-25	ADR 0006
14	verified	c4319b8ca28e18c3dcd56fab36bf60567ee2ff9b2b4d1e39cd07251bde53f196	AI (double) + owner sample	2026-09-25	ADR 0006
15	verified	3a7dd68e1e00556278ab274463c07f979015af3603b82d07054cc1460dc9a2f6	AI (double) + owner sample	2026-09-25	ADR 0006
16	verified	893eb9fa03ceaf7cd3343751942e5a96f7ae716358e7ff819641a5842b3b2fc4	AI (double) + owner sample	2026-09-25	ADR 0006
17	verified	51d2099f76f04e4a0f9fa286c4317946b1d22f4196a7d86baf8dafef7e86292d	AI (double) + owner sample	2026-09-25	ADR 0006
18	verified	109e45cd62b217343a9a54073cefd2167b6a520119a5431ccdd5a294fe8ce393	AI (double) + owner sample	2026-09-25	ADR 0006
19	verified	fa9c69d818dde21c15d7bd94692927e0dec4e63257e2151b84ca1cd7721b2db5	AI (double) + owner sample	2026-09-25	ADR 0006
20	verified	8707fc3dc697175497719ae2a0697258364b8a19f87af4611fbb87d382381eb2	AI (double) + owner sample	2026-09-25	ADR 0006
21	verified	6e9ce2daf531129480854b52cfa48eb400ae18e95de8c7ca685507f32f2312b1	AI (double) + owner sample	2026-09-25	ADR 0006
22	verified	ec0db3d4ae387ce47222971fdf184808878b772ff1e89df7104638604be63d2c	AI (double) + owner sample	2026-09-25	ADR 0006
23	verified	d6adf012b0ecf24e4bd1505b5a1abbf2445a18d982ddee2f9cefa87ac1b4e076	AI (double) + owner sample	2026-09-25	ADR 0006
24	verified	5709fc36aacde75efabbbd854018cb4462b4d7990b9a8f38034993c93fc6748c	AI (double) + owner sample	2026-09-25	ADR 0006
25	verified	bb55ca2ef2d2d94966b4589834c2dba8d9bfe31883652866052a1537e2779b65	AI (double) + owner sample	2026-09-25	ADR 0006
26	verified	59aa906a66794ade64138b7e7975ea4e35d826927093a3cf01d194f172246a9d	AI (double) + owner sample	2026-09-25	ADR 0006
27	verified	b0ae1dbfbbdfb631ec94955be2ae3da5692f86b23978f36208bbb13c5c78536f	AI (double) + owner sample	2026-09-25	ADR 0006
28	verified	493737df6f0c0a5c5ef546fab9d04d9bbf2673b6a80cced1874de2d879a69b67	AI (double) + owner sample	2026-09-25	ADR 0006
29	verified	d6d0c4ce2bd3871ef35b009e5b380369642506789fe76362d6fee87b08054fe7	AI (double) + owner sample	2026-09-25	ADR 0006
30	verified	ec3467d9d5a8a455e7f6759303b4c7a40e9ffb5e398d0ab2dc6f97cd629e2426	AI (double) + owner sample	2026-09-25	ADR 0006
31	verified	7529351a476178a567a4cdade854b9627200d21146028a87dbb9dff84d7fb79b	AI (double) + owner sample	2026-09-25	ADR 0006
32	verified	2144d68c99c30f27a15f358af62307a3e6ba7d7b30b9033761ef09d6eba2bcc0	AI (double) + owner sample	2026-09-25	ADR 0006
33	verified	c62393fdd6768b29cfd98b53aafa7853f83385851618be7cc96d8f20e3d77c84	AI (double) + owner sample	2026-09-25	ADR 0006
34	verified	a3cc96ebb41039295c6e097cfc01c31478245c4e0b027eb07b6cbefcbcee90b1	AI (double) + owner sample	2026-09-25	ADR 0006
35	verified	d5c0f5de7c2dce4525809a3cdbdc43565ecdd1bcc96b40e41cba45073f7dddc0	AI (double) + owner sample	2026-09-25	ADR 0006
36	verified	663628abe65ba08a45b6cf2cf94e2c6077d99316ca44713c5b0498c400219e70	AI (double) + owner sample	2026-09-25	ADR 0006
37	verified	7b03945952b1530cb56bce29d4b0c3fb0ff244480a050fb82e2567c62016dae8	AI (double) + owner sample	2026-09-25	ADR 0006
38	verified	d5d0add5069e9d40d0245597579fc9e45dbffd01ccf95ad04b5a46a7ec305748	AI (double) + owner sample	2026-09-25	ADR 0006
39	verified	05cc2c444871326235289324b1b77f52a93c1c78047b1e16c272c723f8e5724d	AI (double) + owner sample	2026-09-25	ADR 0006
40	verified	d274ceab66c2510236f57d4cac5fa6702abe1c64654477a24f6f35b1ac241feb	AI (double) + owner sample	2026-09-25	ADR 0006
41	verified	b5c27429dd576fbec2359079575291c4197626b3cdf8f03a32f0dd2e97b007a0	AI (double) + owner sample	2026-09-25	ADR 0006
42	verified	259594301a342768a690513224a57163ccfb213a8eac88eaded73a27f66c12b6	AI (double) + owner sample	2026-09-25	ADR 0006
43	verified	ddc891b999a7e2089adaa9dc3b79e370933f70a76151b7e30aad135d41ad4f28	AI (double) + owner sample	2026-09-25	ADR 0006
44	verified	0f1f3d7237a191166e746a3c3bcdeab25854b8d4e4b7e207809fb5598ed39ae1	AI (double) + owner sample	2026-09-25	ADR 0006
45	verified	eede2772c200056a2f1c0c9bc48e1f56b5ffe70aab5ea4a94313522703b8279c	AI (double) + owner sample	2026-09-25	ADR 0006
46	verified	9d9f3a7aa7171d3bb48ceb5200676d112070f56d6774eb852e43114d4d89abc9	AI (double) + owner sample	2026-09-25	ADR 0006
